"","date","","","","","","","","","",""
"1",14823,909.933073162522,0,395.118674612494,0,710.373810516948,0,377.161406012991,0,876.72779188635,0
"2",14824,742.579852630015,0,2426.98083361837,0,1102.54966827371,0,2396.26285977452,0,2424.89897078593,0
"3",14825,1121.48789291323,0,512.200348794215,0,967.152833669849,0,513.814855028024,0,1118.55966497215,0
"4",14826,965.698655355488,0,153.200775771662,0,756.924300028412,0,153.276329055043,0,726.606197400248,0
"5",14827,760.439502716673,0,331.853254372451,0,630.825845969893,0,319.169405479836,0,734.853666401891,0
"6",14830,666.833888223689,0,94.9034762473142,0,506.407220052692,0,91.8641886185964,0,490.390897979265,0
"7",14831,519.548538583257,0,1.0463347999047,0.147703241896806,363.4490475442,0,0.83234091594776,0.202608270884623,324.260446930452,0
"8",14832,353.237876733512,0,782.081301839532,0,415.761812584579,0,763.096807499286,0,845.638620156087,0
"9",14833,441.913701592113,0,1801.97584063197,0,759.101673507601,0,1783.15809907411,0,1735.91375283909,0
"10",14834,769.311862432609,0,123.563590816329,0,611.919229790258,0,121.541647262146,0,578.294683645203,0
"11",14837,589.911987511309,0,1320.61747608042,0,771.98930248314,0,1311.77669666626,0,1440.39122060346,0
"12",14838,799.662198939556,0,484.17301367245,0,730.317847022668,0,475.962346219677,0,887.889763458423,0
"13",14839,731.405536263301,0,2494.75600958074,0,1184.78325759964,0,2477.1012686765,0,2483.62510744249,0
"14",14840,1200.13160168537,0,1191.14848662012,0,1239.92713898827,0,1193.96668319272,0,1723.79681021901,0
"15",14841,1229.86663902512,0,42.9123498060901,0,951.787249468244,0,44.3526128920052,0,802.089063742933,0
"16",14844,942.889736665492,0,227.78634097879,0,733.3848319474,0,207.978806294713,0,758.017549234816,0
"17",14845,768.591455139557,0,373.811029848684,0,617.791928300677,0,346.969994743514,0,763.692693991675,0
"18",14846,641.449053504036,0,100.968866119239,0,468.27377897906,0,96.0420648867106,0,478.436508541492,0
"19",14847,461.365295948252,0,11.5740485215643,0,311.278344628613,0,11.5247934817816,0,296.824900917788,0
"20",14848,305.970732963922,0,248.937559862369,0,246.124930770756,0,239.513972863173,0,387.274434836742,0
"21",14851,266.918173208487,0,782.489702003662,0,351.9914779701,0,762.211002487298,0,791.436642060902,0
"22",14852,371.279732650542,0,2125.07028866353,0,796.671357373007,0,2105.57461677279,0,1954.56864761605,0
"23",14853,817.439800827571,0,422.999489126696,0,747.566057291744,0,423.959949176657,0,855.9190402626,0
"24",14854,726.755800725154,0,76.6637653740243,0,575.320620364027,0,69.1946598625529,0,509.391531633147,0
"25",14855,581.362258459476,0,1542.02508249477,0,794.452549426361,0,1499.10626963459,0,1589.81726657672,0
"26",14858,860.517043224129,0,217.414231373323,0,710.233074064821,0,212.203865325469,0,709.581878656963,0
"27",14859,711.317142675818,0,377.135191252984,0,613.440341307077,0,364.160060529481,0,741.13208756633,0
"28",14860,609.721497201535,0,333.655229401333,0,517.587619086329,0,322.322592155024,0,643.610013983729,0
"29",14861,556.766684030309,0,989.2900944218,0,626.71646537037,0,964.260896055406,0,1136.35533784598,0
"30",14862,663.032533895903,0,1066.24245361345,0,747.893823220422,0,1053.20045728126,0,1274.93589145268,0
"31",14865,769.433408507741,0,563.996635313131,0,718.077918418299,0,562.217081904509,0,939.05057083653,0
"32",14866,712.870215932354,0,2467.09689489133,0,1154.31194969215,0,2450.88129780461,0,2449.83026936125,0
"33",14867,1188.17842452826,0,206.122500169658,0,970.090151756496,0,205.200006128155,0,907.866185912018,0
"34",14868,965.714840766333,0,88.1023945882404,0,749.469246742262,0,87.8555204402507,0,673.175267173853,0
"35",14869,752.509904418602,0,1312.20100550674,0,848.167679993656,0,1271.12611412411,0,1510.49709657423,0
"36",14872,901.524191236667,0,2945.55341080767,0,1407.18793534176,0,2919.12272652409,0,2951.79415968686,0
"37",14873,1424.08471317378,0,733.283157531098,0,1283.09052211677,0,736.286230416627,0,1489.94706057738,0
"38",14874,1232.53230042172,0,312.683766232981,0,1006.84581958908,0,312.785948945065,0,1023.96032398671,0
"39",14875,1009.61326459184,0,25.1056424109239,0,747.124430017766,0,26.6858219959185,0,650.650676263008,0
"40",14876,760.334895220292,0,94.3686965752619,0,560.057876958091,0,92.5229012608282,0,549.50571670976,0
"41",14879,568.422623653876,0,87.5117373387925,0,404.475734250716,0,83.5783426882527,0,422.308490970205,0
"42",14880,414.696435985302,0,6.47683576449497,4.68329819369728e-11,271.843055090699,0,6.33208317919803,1.20936483050116e-10,263.379719774051,0
"43",14881,268.279590501579,0,-0.173557915433648,0.568893545709335,162.408003848962,0,-0.146191987598581,0.558115084711776,166.923292388824,0
"44",14882,155.210124997481,0,1.49456559550378,0.0675139253566112,81.950053255444,0,1.32089280129688,0.0932685551939966,97.7795006286003,0
"45",14883,84.9207945702124,0,1186.0901887818,0,333.26518261647,0,1174.64902300742,0,1013.91430860427,0
"46",14886,363.431746434707,0,40.1483227856584,0,290.823875969538,0,41.4138613041058,0,260.086714329532,0
"47",14887,279.857917929918,0,13.70975991942,0,220.109511475129,0,14.2431627578386,0,185.843911911906,0
"48",14888,215.204399444865,0,21.3978670186875,0,167.363607246538,0,20.3306242264802,0,150.779116024323,0
"49",14889,175.347126309741,0,64.5937095635208,0,143.852917348857,0,63.0792162338265,0,161.034737719742,0
"50",14890,145.508203654926,0,645.092104229486,0,261.946348158813,0,636.371367312178,0,612.136591621593,0
"51",14893,269.152898796645,0,2064.34941966839,0,726.056664665423,0,2051.17210573357,0,1847.29893376816,0
